episode,north,south,east,west
1,0,0,0,0
2,0,0,0,0
3,0,0,0.10125,0
4,0,0,0.253125,0
5,0,0,0.253125,0
6,0,0,0.339314063,0
7,0,0,0.465876563,0
8,0,0.209644453,0.577219922,0
9,0,0.209644453,0.577219922,0
10,0,0.209644453,0.645656221,0.246761517
11,0,0.209644453,0.709484458,0.246761517
12,0.319268006,0.408126832,0.647705693,0.246761517
13,0.319268006,0.561518196,0.647705693,0.246761517
14,0.319268006,0.561518196,0.490571163,0.246761517
15,0.319268006,0.461472855,0.415230626,0.246761517
16,0.37513826,0.375872525,0.529677741,0.354764808
17,0.37513826,0.375872525,0.610976255,0.354764808
18,0.37513826,0.375872525,0.6810321,0.354764808
19,0.37513826,0.375872525,0.730775677,0.354764808
20,0.37513826,0.375872525,0.763011472,0.354764808
21,0.497447164,0.375872525,0.745617654,0.354764808
22,0.497447164,0.375872525,0.757321204,0.354764808
23,0.497447164,0.375872525,0.757321204,0.354764808
24,0.497447164,0.375872525,0.782736239,0.354764808
25,0.497447164,0.375872525,0.802490208,0.354764808
26,0.497447164,0.375872525,0.806013627,0.354764808
27,0.497447164,0.550642394,0.807890978,0.354764808
28,0.612274522,0.550642394,0.809385796,0.354764808
29,0.612274522,0.550642394,0.809663891,0.354764808
30,0.670486012,0.550642394,0.80981743,0.354764808
31,0.670486012,0.550642394,0.80981743,0.354764808
32,0.670486012,0.550642394,0.789659644,0.354764808
33,0.670486012,0.550642394,0.761332095,0.494813164
34,0.670486012,0.600790668,0.766631835,0.494813164
35,0.670486012,0.600790668,0.774202455,0.494813164
36,0.670486012,0.600790668,0.762620733,0.494813164
37,0.670486012,0.600790668,0.771375786,0.494813164
38,0.670486012,0.600790668,0.783220602,0.494813164
39,0.670486012,0.600790668,0.792876656,0.494813164
40,0.670486012,0.600790668,0.799571505,0.494813164
41,0.670486012,0.654827233,0.721348377,0.568200472
42,0.670486012,0.654827233,0.743445056,0.568200472
43,0.670486012,0.654827233,0.765607962,0.568200472
44,0.670486012,0.654827233,0.776689415,0.568200472
45,0.670486012,0.654827233,0.787787424,0.568200472
